subject,task,run,r_simple,r_microPDA_personal,r_microCEN_personal,r_microDMN_personal,r_microPDA_difumo,r_microCEN_difumo,r_microDMN_difumo
sub-dmnelf001,feedback,01,0.0018,-0.0174,0.1795,0.2906,0.0214,0.252,0.3533
sub-dmnelf001,feedback,02,-0.1677,0.0126,-0.0213,-0.001,0.0656,0.0743,-0.0788
sub-dmnelf001,feedback,03,0.0008,0.1015,-0.0334,-0.0541,-0.0272,0.0677,0.0454
sub-dmnelf001,feedback,04,0.2147,-0.0875,0.0787,-0.1256,-0.0881,-0.0936,0.0585
sub-dmnelf004,feedback,01,0.1051,-0.0457,0.0219,-0.0604,0.1395,-0.033,-0.0409
sub-dmnelf004,feedback,02,-0.3133,0.0341,0.1545,0.1839,-0.0715,0.119,-0.011
sub-dmnelf004,feedback,03,0.142,0.0346,-0.017,-0.0017,0.1575,0.0564,0.2652
sub-dmnelf004,feedback,04,-0.2779,0.3121,-0.1184,0.3038,-0.2478,0.1499,0.255
sub-dmnelf005,feedback,01,-0.2287,0.0526,-0.0558,-0.1426,0.0192,-0.2207,-0.3854
sub-dmnelf005,feedback,02,0.104,0.0958,-0.0567,-0.1421,0.0623,0.1865,0.386
sub-dmnelf005,feedback,03,0.2506,0.2178,-0.2772,-0.3798,-0.0929,0.1634,-0.0654
sub-dmnelf005,feedback,04,-0.1224,0.1047,0.2141,0.417,0.0007,0.0401,0.0271
sub-dmnelf006,feedback,01,0.0981,-0.1092,-0.0207,-0.1013,0.0994,-0.1636,-0.1355
sub-dmnelf006,feedback,02,-0.0228,0.0481,-0.1936,-0.1198,-0.04,0.1365,0.1288
sub-dmnelf006,feedback,03,0.0234,0.0254,-0.0176,-0.048,0.0338,-0.055,-0.0863
sub-dmnelf006,feedback,04,-0.0154,0.1811,0.302,0.0262,0.1322,-0.1336,-0.1372
sub-dmnelf007,feedback,01,-0.11,0.1017,0.2344,0.2567,0.0939,0.2056,0.244
sub-dmnelf007,feedback,02,-0.004,0.086,-0.1744,-0.2491,0.0829,-0.0692,-0.1642
sub-dmnelf007,feedback,03,-0.0922,0.0185,-0.2327,-0.2629,-0.0558,0.0369,-0.0205
sub-dmnelf007,feedback,04,0.0394,0.0243,-0.0238,-0.0274,-0.0045,-0.0778,-0.092
sub-dmnelf008,feedback,01,-0.1545,-0.1146,0.0204,0.1337,0.0956,0.4703,0.235
sub-dmnelf008,feedback,02,0.2863,-0.0547,-0.04,-0.2487,-0.263,0.1391,0.0221
sub-dmnelf008,feedback,03,-0.0241,-0.0132,0.0916,0.1863,-0.0115,0.2074,0.2716
sub-dmnelf008,feedback,04,-0.2097,0.0474,-0.0275,0.2387,0.1265,0.3102,0.3512
sub-dmnelf010,feedback,01,0.0959,0.0832,0.0382,-0.3404,0.009,-0.4929,-0.4373
sub-dmnelf010,feedback,02,0.2339,-0.1206,-0.1659,-0.3695,0.0845,-0.3381,-0.2767
sub-dmnelf010,feedback,03,-0.0346,0.1135,0.0206,0.0095,0.1031,-0.0451,-0.1975
sub-dmnelf010,feedback,04,0.1004,-0.1351,-0.0062,-0.2283,-0.135,0.145,-0.1652
