subject,source,component,w_DMN,w_AUD,w_VIS,w_CEN,w_SAL,w_DANT,w_SOM
sub-dmnelf001,personal,w_CEN,0.001848,-0.046432,-0.011881,0.022299,-0.00871,-0.021079,-0.013324
sub-dmnelf001,personal,w_DMN,0.03418,0.03093,0.020216,-0.024457,-0.014373,0.040924,-0.016888
sub-dmnelf001,difumo,w_CEN,0.009032,-0.071371,-0.02788,0.066963,-0.032512,-0.010604,0.001073
sub-dmnelf001,difumo,w_DMN,0.044756,-0.059095,-0.022238,0.076342,-0.061833,0.033035,-0.001784
sub-dmnelf004,personal,w_CEN,0.016026,-0.002427,-0.017313,0.046869,-0.033023,0.029565,0.029283
sub-dmnelf004,personal,w_DMN,0.018906,0.137524,0.000756,-0.045855,0.022454,0.059651,0.041586
sub-dmnelf004,difumo,w_CEN,0.077317,0.004516,0.027729,0.012039,-0.070371,0.089668,-0.024483
sub-dmnelf004,difumo,w_DMN,0.007064,0.048566,0.010347,-0.041569,0.019548,0.010889,-0.006237
sub-dmnelf005,personal,w_CEN,0.003122,0.025589,0.011968,-0.022964,0.006398,0.010712,-0.002807
sub-dmnelf005,personal,w_DMN,0.008364,0.028221,0.018235,-0.028225,0.003141,0.017615,-0.007804
sub-dmnelf005,difumo,w_CEN,-0.001034,0.034526,-0.00198,-0.014811,0.01252,0.006357,0.010474
sub-dmnelf005,difumo,w_DMN,0.000771,0.036098,-0.003701,-0.01197,0.010739,0.009101,0.012672
sub-dmnelf006,personal,w_CEN,-0.011118,0.050951,0.013676,-0.05402,0.035354,-0.006106,-0.004959
sub-dmnelf006,personal,w_DMN,-0.026528,0.101198,-0.014614,-0.041362,0.052832,-0.003337,0.045245
sub-dmnelf006,difumo,w_CEN,0.028248,0.006528,0.031789,-0.029536,-0.015488,0.029266,-0.033018
sub-dmnelf006,difumo,w_DMN,0.033973,-0.004885,0.034945,-0.024606,-0.024218,0.033055,-0.039171
sub-dmnelf007,personal,w_CEN,-0.109475,-0.000244,-0.024948,-0.044643,0.108714,-0.131013,0.017674
sub-dmnelf007,personal,w_DMN,-0.088835,0.011775,-0.034219,-0.021524,0.086892,-0.101085,0.033712
sub-dmnelf007,difumo,w_CEN,-0.077898,-0.044662,-0.014782,-0.028991,0.074631,-0.114607,-0.014993
sub-dmnelf007,difumo,w_DMN,-0.064234,-0.017555,-0.014651,-0.024232,0.063232,-0.085517,-0.000141
sub-dmnelf008,personal,w_CEN,-0.009287,0.039973,-0.00773,-0.016854,0.022224,-0.002892,0.016509
sub-dmnelf008,personal,w_DMN,0.004412,-0.016048,0.017501,-0.018875,-0.000144,-0.004834,-0.027692
sub-dmnelf008,difumo,w_CEN,-0.010049,0.023739,-0.004065,-0.013714,0.017892,-0.007059,0.00921
sub-dmnelf008,difumo,w_DMN,-0.011393,-0.002758,-0.002553,-0.005502,0.012033,-0.016027,-0.000648
sub-dmnelf010,personal,w_CEN,0.01778,-0.010681,0.036221,-0.003115,-0.033921,0.037818,-0.014759
sub-dmnelf010,personal,w_DMN,-0.004389,0.029538,0.055863,-0.057195,0.00286,0.023517,-0.019845
sub-dmnelf010,difumo,w_CEN,0.006831,-0.002379,0.016172,-0.015499,-0.004248,0.006506,-0.016517
sub-dmnelf010,difumo,w_DMN,0.02411,-0.041367,0.014742,0.014588,-0.033696,0.017018,-0.026444
