subject,model,w_DMN,w_AUD,w_VIS,w_CEN,w_SAL,w_DANT,w_SOM
sub-dmnelf001,ridge,0.035381,0.012048,0.027584,0.02157,0.000818,0.00993,0.025343
sub-dmnelf001,elasticnet,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-dmnelf004,ridge,-0.073221,-0.044771,-0.048084,0.01802,-0.083157,-0.143307,-0.079234
sub-dmnelf004,elasticnet,0.0,-0.0,-0.004102,0.0,0.0,0.0,-0.0
sub-dmnelf005,ridge,-0.173309,0.123809,-0.214468,-0.261733,-0.476125,-0.190828,-0.401812
sub-dmnelf005,elasticnet,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-dmnelf006,ridge,0.041107,0.029649,-0.013134,0.004434,-0.108635,-0.09331,0.003098
sub-dmnelf006,elasticnet,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-dmnelf007,ridge,-0.060515,-0.020288,-0.127841,0.057196,-0.270056,-0.240177,-0.018385
sub-dmnelf007,elasticnet,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-dmnelf008,ridge,0.22044,0.060457,0.0398,-0.100215,-0.008984,0.175144,-0.037759
sub-dmnelf008,elasticnet,0.073564,-0.0,0.0,0.031064,-0.0,0.0,-0.0
sub-dmnelf009,ridge,0.112231,0.016684,0.060438,0.009048,0.0795,0.078659,0.05908
sub-dmnelf009,elasticnet,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-dmnelf010,ridge,-0.096467,-0.031089,-0.097387,0.040199,-0.240181,-0.279366,-0.034921
sub-dmnelf010,elasticnet,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-dmnelf011,ridge,-0.037505,-0.010562,-0.000818,0.011037,0.112736,0.104528,0.003029
sub-dmnelf011,elasticnet,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-dmnelf1001,ridge,-0.031901,0.013768,-0.06241,0.041574,-0.033669,-0.01575,0.021572
sub-dmnelf1001,elasticnet,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-dmnelf1002,ridge,0.039756,0.037846,0.003676,-0.01871,0.003248,0.047027,0.011198
sub-dmnelf1002,elasticnet,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-dmnelf1003,ridge,0.017661,0.069334,-0.04471,-0.060149,-0.182508,-0.213032,0.044362
sub-dmnelf1003,elasticnet,-0.0,0.046795,0.0,-0.038924,0.0,-0.046275,0.011591
