subject,n_folds,mean_auc,mean_acc,w_DMN,w_AUD,w_VIS,w_CEN,w_SAL,w_DANT,w_SOM
sub-dmnelf001,4,0.5169,0.516,-0.0101,0.00375,0.01391,0.0165,-0.03281,0.03017,0.02907
sub-dmnelf004,4,0.52,0.518,-0.04929,-0.01558,-0.05484,0.03598,-0.11969,-0.06352,-0.03935
sub-dmnelf005,4,0.4868,0.492,-0.45679,-0.04693,-0.1485,0.06918,-0.19689,-0.32271,-0.10149
sub-dmnelf006,4,0.5443,0.552,0.2805,0.04265,0.23884,-0.10212,0.30827,0.33602,0.09206
sub-dmnelf007,4,0.4755,0.486,-0.0706,-0.01662,-0.08807,0.01955,-0.11793,-0.1634,-0.05261
sub-dmnelf008,4,0.4956,0.496,0.0555,0.03405,0.02575,0.0011,-0.16864,-0.1696,0.04523
sub-dmnelf009,4,0.5056,0.512,0.22039,-0.00847,0.10784,-0.02272,0.17042,0.19751,0.0488
sub-dmnelf010,4,0.4654,0.488,-0.06316,-0.01401,0.06463,-0.01253,0.1949,0.16564,0.00528
sub-dmnelf011,4,0.5077,0.512,0.05693,-0.00622,0.13166,0.00316,0.05899,0.12058,0.02946
sub-dmnelf1001,4,0.5017,0.512,0.21494,0.05098,0.1696,-0.04453,0.10334,0.15232,0.08872
sub-dmnelf1002,4,0.4278,0.45,0.04206,0.01474,0.03121,-0.00144,0.01166,0.0618,0.02701
sub-dmnelf1003,3,0.4801,0.4897,0.17642,0.01043,0.18694,-0.16849,0.42801,0.47062,0.06177
