task_set,analysis,ms_idx,label,n_subjects,beta,se,t_or_z,p_raw,p_fdr,ci_lo,ci_hi,cohens_d,sig_fdr,interaction_p
all,ttest,0,DMN,12,0.019,0.06783,0.2802,0.784533,0.807364,-0.11394,0.15195,0.0809,False,
all,ttest,1,AUD,12,-0.05747,0.06482,-0.8866,0.394282,0.807364,-0.18452,0.06958,-0.2559,False,
all,ttest,2,VIS,12,-0.02809,0.05437,-0.5165,0.615699,0.807364,-0.13466,0.07849,-0.1491,False,
all,ttest,3,CEN,12,0.04766,0.0651,0.7321,0.479406,0.807364,-0.07993,0.17526,0.2113,False,
all,ttest,4,SAL,12,-0.01172,0.04659,-0.2516,0.805974,0.807364,-0.10304,0.07959,-0.0726,False,
all,ttest,5,DANT,12,0.01629,0.06523,0.2498,0.807364,0.807364,-0.11155,0.14413,0.0721,False,
all,ttest,6,SOM,12,-0.05312,0.05893,-0.9014,0.386712,0.807364,-0.16862,0.06239,-0.2602,False,
feedback,ttest,0,DMN,12,-0.08817,0.0789,-1.1175,0.287579,0.391706,-0.24281,0.06647,-0.3226,False,
feedback,ttest,1,AUD,12,0.11029,0.10742,1.0267,0.32659,0.391706,-0.10025,0.32082,0.2964,False,
feedback,ttest,2,VIS,12,0.17406,0.05328,3.2669,0.007506,0.052542,0.06963,0.27849,0.9431,False,
feedback,ttest,3,CEN,12,-0.02334,0.09453,-0.2469,0.809511,0.809511,-0.20862,0.16193,-0.0713,False,
feedback,ttest,4,SAL,12,-0.1103,0.0449,-2.4564,0.031883,0.111592,-0.19831,-0.02229,-0.7091,False,
feedback,ttest,5,DANT,12,0.07045,0.06999,1.0066,0.335748,0.391706,-0.06673,0.20764,0.2906,False,
feedback,ttest,6,SOM,12,0.17174,0.09178,1.8713,0.088123,0.205619,-0.00814,0.35163,0.5402,False,
all,lmm,0,DMN,12,0.01619,0.04416,0.3666,0.7139,0.908335,-0.07036,0.10274,,False,0.04985
all,lmm,1,AUD,12,-0.05166,0.11639,-0.4439,0.65715,0.908335,-0.27979,0.17647,,False,0.25916
all,lmm,2,VIS,12,-0.02741,0.07461,-0.3674,0.71335,0.908335,-0.17365,0.11883,,False,0.01988
all,lmm,3,CEN,12,0.04194,0.11439,0.3667,0.713874,0.908335,-0.18226,0.26614,,False,0.40795
all,lmm,4,SAL,12,-0.00915,0.07943,-0.1151,0.908335,0.908335,-0.16482,0.14653,,False,0.22609
all,lmm,5,DANT,12,0.01226,0.09663,0.1268,0.899065,0.908335,-0.17714,0.20166,,False,0.54106
all,lmm,6,SOM,12,-0.04905,0.09723,-0.5045,0.613913,0.908335,-0.23961,0.14151,,False,0.05688
feedback,lmm,0,DMN,12,-0.0926,0.08386,-1.1043,0.269474,0.527574,-0.25696,0.07176,,False,
feedback,lmm,1,AUD,12,0.12563,0.14216,0.8837,0.376839,0.527574,-0.15299,0.40425,,False,
feedback,lmm,2,VIS,12,0.17295,0.11487,1.5056,0.132162,0.527574,-0.05219,0.39808,,False,
feedback,lmm,3,CEN,12,-0.03973,0.14882,-0.267,0.789488,0.789488,-0.33141,0.25195,,False,
feedback,lmm,4,SAL,12,-0.10116,0.1108,-0.913,0.361231,0.527574,-0.31833,0.116,,False,
feedback,lmm,5,DANT,12,0.057,0.12896,0.442,0.658487,0.768234,-0.19576,0.30977,,False,
feedback,lmm,6,SOM,12,0.18093,0.13967,1.2954,0.195182,0.527574,-0.09282,0.45469,,False,
