subject,task_set,ms_idx,label,n_pos,n_neg,mean_diff,t_stat,p_raw,cohens_d,p_fdr,sig_fdr
sub-dmnelf001,all,0,DMN,788,512,-0.08847,-0.8936,0.371707,-0.0496,0.520389,False
sub-dmnelf001,all,1,AUD,788,512,-0.09087,-0.4806,0.630854,-0.0265,0.696997,False
sub-dmnelf001,all,2,VIS,788,512,0.20738,1.3483,0.177827,0.0752,0.414929,False
sub-dmnelf001,all,3,CEN,788,512,0.20653,1.0671,0.286167,0.06,0.500792,False
sub-dmnelf001,all,4,SAL,788,512,-0.25555,-1.609,0.107921,-0.092,0.414929,False
sub-dmnelf001,all,5,DANT,788,512,0.26234,1.4476,0.148019,0.0829,0.414929,False
sub-dmnelf001,all,6,SOM,788,512,0.06505,0.3895,0.696997,0.0212,0.696997,False
sub-dmnelf004,all,0,DMN,885,415,-0.0004,-0.0036,0.997097,-0.0002,0.997097,False
sub-dmnelf004,all,1,AUD,885,415,-0.18894,-0.6989,0.484811,-0.0404,0.896398,False
sub-dmnelf004,all,2,VIS,885,415,-0.00353,-0.0208,0.983432,-0.0013,0.997097,False
sub-dmnelf004,all,3,CEN,885,415,0.19208,0.7017,0.483032,0.0407,0.896398,False
sub-dmnelf004,all,4,SAL,885,415,-0.08913,-0.4675,0.640284,-0.0283,0.896398,False
sub-dmnelf004,all,5,DANT,885,415,0.15358,0.6581,0.510645,0.0386,0.896398,False
sub-dmnelf004,all,6,SOM,885,415,-0.12204,-0.5595,0.575953,-0.0329,0.896398,False
sub-dmnelf005,all,0,DMN,588,712,-0.41926,-1.6252,0.104452,-0.0947,0.731166,False
sub-dmnelf005,all,1,AUD,588,712,0.18805,0.5446,0.586116,0.0308,0.971643,False
sub-dmnelf005,all,2,VIS,588,712,0.12798,0.3935,0.694031,0.0228,0.971643,False
sub-dmnelf005,all,3,CEN,588,712,-0.13883,-0.4842,0.628348,-0.027,0.971643,False
sub-dmnelf005,all,4,SAL,588,712,0.01595,0.063,0.949761,0.0036,0.974853,False
sub-dmnelf005,all,5,DANT,588,712,-0.00802,-0.0315,0.974853,-0.0018,0.974853,False
sub-dmnelf005,all,6,SOM,588,712,0.19402,0.5245,0.600014,0.0301,0.971643,False
sub-dmnelf006,all,0,DMN,735,565,0.24491,1.8157,0.069716,0.1056,0.473631,False
sub-dmnelf006,all,1,AUD,735,565,0.21538,0.5402,0.589194,0.031,0.687393,False
sub-dmnelf006,all,2,VIS,735,565,-0.31117,-1.1001,0.271525,-0.0636,0.475169,False
sub-dmnelf006,all,3,CEN,735,565,-0.38713,-0.9451,0.344799,-0.054,0.482718,False
sub-dmnelf006,all,4,SAL,735,565,0.40658,1.3089,0.190831,0.0747,0.473631,False
sub-dmnelf006,all,5,DANT,735,565,-0.46653,-1.2738,0.202985,-0.0726,0.473631,False
sub-dmnelf006,all,6,SOM,735,565,-0.05004,-0.1515,0.879637,-0.0088,0.879637,False
sub-dmnelf007,all,0,DMN,489,811,0.01519,0.1218,0.903076,0.0072,0.903076,False
sub-dmnelf007,all,1,AUD,489,811,-0.08818,-0.3043,0.760972,-0.0181,0.903076,False
sub-dmnelf007,all,2,VIS,489,811,-0.02663,-0.1237,0.901563,-0.0072,0.903076,False
sub-dmnelf007,all,3,CEN,489,811,0.07931,0.3267,0.743955,0.0193,0.903076,False
sub-dmnelf007,all,4,SAL,489,811,-0.02651,-0.1718,0.86362,-0.0099,0.903076,False
sub-dmnelf007,all,5,DANT,489,811,0.04404,0.2304,0.817859,0.0134,0.903076,False
sub-dmnelf007,all,6,SOM,489,811,-0.07132,-0.2532,0.800188,-0.015,0.903076,False
sub-dmnelf008,all,0,DMN,838,462,0.56757,2.1779,0.029661,0.1272,0.207628,False
sub-dmnelf008,all,1,AUD,838,462,-0.2644,-0.3675,0.713349,-0.0214,0.890509,False
sub-dmnelf008,all,2,VIS,838,462,-0.45263,-1.0048,0.315212,-0.0552,0.890509,False
sub-dmnelf008,all,3,CEN,838,462,0.09835,0.1377,0.890509,0.0081,0.890509,False
sub-dmnelf008,all,4,SAL,838,462,0.10224,0.2093,0.834237,0.012,0.890509,False
sub-dmnelf008,all,5,DANT,838,462,-0.31227,-0.5066,0.612525,-0.0295,0.890509,False
sub-dmnelf008,all,6,SOM,838,462,-0.43052,-0.7316,0.46459,-0.0414,0.890509,False
sub-dmnelf009,all,0,DMN,726,573,0.12998,1.348,0.177889,0.0741,0.717476,False
